subject_id,property_id,object_id,reference_uri,reference_supporting_text,reference_date,property_label,property_description,property_uri
rxcui:2102775,RO:0002408,hgnc:20,NA,This edge comes from the DGIdb 5.0.,2025-10-21,inhibitor,interaction score = 0.0988708306039498,http://purl.obolibrary.org/obo/RO_0002408
rxcui:1546373,RO:0002408,hgnc:20,NA,This edge comes from the DGIdb 5.0.,2025-10-21,inhibitor,interaction score = 0.0494354153019749,http://purl.obolibrary.org/obo/RO_0002408
iuphar.ligand:342,RO:0011002,hgnc:20,NA,This edge comes from the DGIdb 5.0.,2025-10-21,modulator,interaction score = 0.1186449967247398,http://purl.obolibrary.org/obo/RO_0011002
iuphar.ligand:317,RO:0002408,hgnc:20,NA,This edge comes from the DGIdb 5.0.,2025-10-21,inhibitor,interaction score = 0.1186449967247398,http://purl.obolibrary.org/obo/RO_0002408
iuphar.ligand:6938,RO:0011002,hgnc:20,NA,This edge comes from the DGIdb 5.0.,2025-10-21,modulator,interaction score = 0.2966124918118496,http://purl.obolibrary.org/obo/RO_0011002
rxcui:1589,RO:0002408,hgnc:20,NA,This edge comes from the DGIdb 5.0.,2025-10-21,inhibitor,interaction score = 0.0741531229529624,http://purl.obolibrary.org/obo/RO_0002408
ncit:C76041,RO:0002406,hgnc:20,NA,This edge comes from the DGIdb 5.0.,2025-10-21,agonist,interaction score = 0.1483062459059248,http://purl.obolibrary.org/obo/RO_0002406
drugbank:DB15954,RO:0011002,hgnc:20,NA,This edge comes from the DGIdb 5.0.,2025-10-21,modulator,interaction score = 0.0494354153019749,http://purl.obolibrary.org/obo/RO_0011002
rxcui:3634,RO:0002408,hgnc:20,NA,This edge comes from the DGIdb 5.0.,2025-10-21,inhibitor,interaction score = 0.0593224983623699,http://purl.obolibrary.org/obo/RO_0002408
rxcui:1303098,RO:0002408,hgnc:20,NA,This edge comes from the DGIdb 5.0.,2025-10-21,inhibitor,interaction score = 0.0593224983623699,http://purl.obolibrary.org/obo/RO_0002408
rxcui:1546387,RO:0002406,hgnc:20,NA,This edge comes from the DGIdb 5.0.,2025-10-21,agonist,interaction score = 0.0593224983623699,http://purl.obolibrary.org/obo/RO_0002406
rxcui:8352,RO:0002408,hgnc:20,NA,This edge comes from the DGIdb 5.0.,2025-10-21,inhibitor,interaction score = 0.0593224983623699,http://purl.obolibrary.org/obo/RO_0002408
iuphar.ligand:304,RO:0002406,hgnc:20,NA,This edge comes from the DGIdb 5.0.,2025-10-21,agonist,interaction score = 0.1483062459059248,http://purl.obolibrary.org/obo/RO_0002406
rxcui:194,RO:0002406,hgnc:20,NA,This edge comes from the DGIdb 5.0.,2025-10-21,agonist,interaction score = 0.0988708306039498,http://purl.obolibrary.org/obo/RO_0002406
iuphar.ligand:323,RO:0002408,hgnc:20,NA,This edge comes from the DGIdb 5.0.,2025-10-21,inhibitor,interaction score = 0.1483062459059248,http://purl.obolibrary.org/obo/RO_0002408
iuphar.ligand:318,RO:0002408,hgnc:20,NA,This edge comes from the DGIdb 5.0.,2025-10-21,inhibitor,interaction score = 0.1186449967247398,http://purl.obolibrary.org/obo/RO_0002408
iuphar.ligand:343,RO:0011002,hgnc:20,NA,This edge comes from the DGIdb 5.0.,2025-10-21,modulator,interaction score = 0.1186449967247398,http://purl.obolibrary.org/obo/RO_0011002
iuphar.ligand:314,RO:0002408,hgnc:20,NA,This edge comes from the DGIdb 5.0.,2025-10-21,inhibitor,interaction score = 0.1186449967247398,http://purl.obolibrary.org/obo/RO_0002408
iuphar.ligand:300,RO:0002406,hgnc:20,NA,This edge comes from the DGIdb 5.0.,2025-10-21,agonist,interaction score = 0.1186449967247398,http://purl.obolibrary.org/obo/RO_0002406
iuphar.ligand:337,RO:0011002,hgnc:20,NA,This edge comes from the DGIdb 5.0.,2025-10-21,modulator,interaction score = 0.2966124918118496,http://purl.obolibrary.org/obo/RO_0011002
drugbank:DB04365,RO:0002406,hgnc:20,NA,This edge comes from the DGIdb 5.0.,2025-10-21,agonist,interaction score = 0.1186449967247398,http://purl.obolibrary.org/obo/RO_0002406
iuphar.ligand:311,RO:0002408,hgnc:20,NA,This edge comes from the DGIdb 5.0.,2025-10-21,inhibitor,interaction score = 0.2966124918118496,http://purl.obolibrary.org/obo/RO_0002408
iuphar.ligand:312,RO:0002408,hgnc:20,NA,This edge comes from the DGIdb 5.0.,2025-10-21,inhibitor,interaction score = 0.2966124918118496,http://purl.obolibrary.org/obo/RO_0002408
iuphar.ligand:331,RO:0002408,hgnc:20,NA,This edge comes from the DGIdb 5.0.,2025-10-21,inhibitor,interaction score = 0.1483062459059248,http://purl.obolibrary.org/obo/RO_0002408
rxcui:2694828,RO:0002406,hgnc:20,NA,This edge comes from the DGIdb 5.0.,2025-10-21,agonist,interaction score = 0.0348955872719823,http://purl.obolibrary.org/obo/RO_0002406
